Band name,Band value
20150618_0730_sm_rootzone,0.252
20150618_1030_sm_rootzone,0.252
20150618_1330_sm_rootzone,0.252
20150618_1630_sm_rootzone,0.251
20150618_1930_sm_rootzone,0.25
20150618_2230_sm_rootzone,0.249
20150619_0130_sm_rootzone,0.249
20150619_0430_sm_rootzone,0.249
20150619_0730_sm_rootzone,0.25
20150619_1030_sm_rootzone,0.25
20150619_1330_sm_rootzone,0.249
20150619_1630_sm_rootzone,0.248
20150619_1930_sm_rootzone,0.246
20150619_2230_sm_rootzone,0.246
20150620_0130_sm_rootzone,0.246
20150620_0430_sm_rootzone,0.246
20150620_0730_sm_rootzone,0.246
20150620_1030_sm_rootzone,0.247
20150620_1330_sm_rootzone,0.246
20150620_1630_sm_rootzone,0.245
20150620_1930_sm_rootzone,0.244
20150620_2230_sm_rootzone,0.244
20150621_0130_sm_rootzone,0.244
20150621_0430_sm_rootzone,0.244
20150621_0730_sm_rootzone,0.244
20150621_1030_sm_rootzone,0.245
20150621_1330_sm_rootzone,0.245
20150621_1630_sm_rootzone,0.243
20150621_1930_sm_rootzone,0.242
20150621_2230_sm_rootzone,0.241
20150622_0130_sm_rootzone,0.241
20150622_0430_sm_rootzone,0.242
20150622_0730_sm_rootzone,0.242
20150622_1030_sm_rootzone,0.242
20150622_1330_sm_rootzone,0.242
20150622_1630_sm_rootzone,0.242
20150622_1930_sm_rootzone,0.24
20150622_2230_sm_rootzone,0.24
20150623_0130_sm_rootzone,0.24
20150623_0430_sm_rootzone,0.24
20150623_0730_sm_rootzone,0.24
20150623_1030_sm_rootzone,0.241
20150623_1330_sm_rootzone,0.241
20150623_1630_sm_rootzone,0.239
20150623_1930_sm_rootzone,0.238
20150623_2230_sm_rootzone,0.237
20150624_0130_sm_rootzone,0.237
20150624_0430_sm_rootzone,0.237
20150624_0730_sm_rootzone,0.238
20150624_1030_sm_rootzone,0.238
20150624_1330_sm_rootzone,0.238
20150624_1630_sm_rootzone,0.236
20150624_1930_sm_rootzone,0.235
20150624_2230_sm_rootzone,0.234
20150625_0130_sm_rootzone,0.234
20150625_0430_sm_rootzone,0.235
20150625_0730_sm_rootzone,0.235
20150625_1030_sm_rootzone,0.235
20150625_1330_sm_rootzone,0.235
20150625_1630_sm_rootzone,0.234
20150625_1930_sm_rootzone,0.232
20150625_2230_sm_rootzone,0.231
20150626_0130_sm_rootzone,0.232
20150626_0430_sm_rootzone,0.232
20150626_0730_sm_rootzone,0.232
20150626_1030_sm_rootzone,0.233
20150626_1330_sm_rootzone,0.232
20150626_1630_sm_rootzone,0.231
20150626_1930_sm_rootzone,0.23
20150626_2230_sm_rootzone,0.229
20150627_0130_sm_rootzone,0.23
20150627_0430_sm_rootzone,0.23
20150627_0730_sm_rootzone,0.23
20150627_1030_sm_rootzone,0.23
20150627_1330_sm_rootzone,0.23
20150627_1630_sm_rootzone,0.229
20150627_1930_sm_rootzone,0.228
20150627_2230_sm_rootzone,0.228
20150628_0130_sm_rootzone,0.228
20150628_0430_sm_rootzone,0.228
20150628_0730_sm_rootzone,0.229
20150628_1030_sm_rootzone,0.229
20150628_1330_sm_rootzone,0.229
20150628_1630_sm_rootzone,0.227
20150628_1930_sm_rootzone,0.226
20150628_2230_sm_rootzone,0.225
20150629_0130_sm_rootzone,0.225
20150629_0430_sm_rootzone,0.225
20150629_0730_sm_rootzone,0.226
20150629_1030_sm_rootzone,0.226
20150629_1330_sm_rootzone,0.226
20150629_1630_sm_rootzone,0.225
20150629_1930_sm_rootzone,0.223
20150629_2230_sm_rootzone,0.223
20150630_0130_sm_rootzone,0.223
20150630_0430_sm_rootzone,0.223
20150630_0730_sm_rootzone,0.224
20150630_1030_sm_rootzone,0.224
20150630_1330_sm_rootzone,0.224
